DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2019,238518.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2020,236387.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2021,248764.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2022,266135.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2023,273005.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2024,275993.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2013,2120351.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2014,2153733.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2015,2201401.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2016,2231819.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2017,2291680.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2018,2355362.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2019,2432206.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2020,2318276.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2021,2508102.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2022,2653997.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2023,2826541.5,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",France,2024,2919899.9,p,
